Symbol,date,expiry,open,close,Strike_Price,Spot_Price,Risk_Free_Intrest,Time,Volatility,LTP,BS_Call,MC_Call,FD_Call,C(T+1),C_BS(T+1),C_MC(T+1),C_FD(T+1)
BANKNIFTY,07-Mar-2013,28-Mar-2013,192,253.75,11970.25,11900.0,0.00094,0.05753424658,0.3388077237,260,451.0126166,463.6845002,443.2852601,410.25,397.8303707,401.3466642,383.1132895
BANKNIFTY,07-Mar-2013,28-Mar-2013,95.15,152.5,11970.25,12100.0,0.00094,0.05753424658,0.2807215558,157,286.2296255,292.5887281,273.6231292,269.15,696.4825071,705.3230499,683.0852838
BANKNIFTY,07-Mar-2013,28-Mar-2013,300.35,392.65,11970.25,11700.0,0.00094,0.05753424658,0.3218359157,402,547.5856094,559.1134776,536.0680263,575.2,644.6895962,626.921658,634.1665087
BANKNIFTY,07-Mar-2013,28-Mar-2013,233,315.65,11970.25,11800.0,0.00094,0.05753424658,0.3395252158,321,507.0864107,510.56593,497.8779914,486.85,876.5622839,897.4565448,869.1901422
BANKNIFTY,07-Mar-2013,28-Mar-2013,446.8,558.85,11970.25,11500.0,0.00094,0.05753424658,0.3592135596,572.6,716.0183708,720.2623471,709.1959714,761.45,800.9233617,817.7990117,792.0684408
BANKNIFTY,07-Mar-2013,28-Mar-2013,368,463.8,11970.25,11600.0,0.00094,0.05753424658,0.3575321198,476.3,648.1653628,656.5171544,640.954962,664.6,921.8367991,937.3891909,905.2656193
BANKNIFTY,11-Mar-2013,28-Mar-2013,85.75,83.55,12165.4,12500.0,0.00094,0.04657534247,0.3484690674,77,242.5484361,239.8368155,238.6800124,69.05,122.429391,124.7906898,114.2741898
BANKNIFTY,11-Mar-2013,28-Mar-2013,130,117.5,12165.4,12400.0,0.00094,0.04657534247,0.2400187185,107.95,169.784508,177.1817724,158.9181671,97.05,251.4172136,247.2701943,242.5282701
BANKNIFTY,11-Mar-2013,28-Mar-2013,213.9,203.25,12165.4,12200.0,0.00094,0.04657534247,0.2971356818,189.3,315.9847871,321.5164443,306.1230206,170.45,280.6517143,286.9683016,270.631459
BANKNIFTY,11-Mar-2013,28-Mar-2013,293.05,258.5,12165.4,12100.0,0.00094,0.04657534247,0.2807215558,242.7,350.6489195,350.191759,338.6437497,214.55,182.4383885,185.4911844,173.8211924
BANKNIFTY,11-Mar-2013,28-Mar-2013,162.05,156.3,12165.4,12300.0,0.00094,0.04657534247,0.2680316899,145.9,239.1037413,237.539179,227.5918711,129.65,372.4314668,376.4746372,364.9597025
BANKNIFTY,11-Mar-2013,28-Mar-2013,329.6,329.1,12165.4,12000.0,0.00094,0.04657534247,0.3214905839,301,448.6921563,456.3693814,438.4458836,272.6,444.8807504,451.0976017,437.6290508
BANKNIFTY,11-Mar-2013,28-Mar-2013,412.15,385.65,12165.4,11900.0,0.00094,0.04657534247,0.3388077237,373.05,526.0841852,528.2079348,518.8094819,336.2,554.0849528,554.8568792,544.1015166
BANKNIFTY,11-Mar-2013,28-Mar-2013,612.25,560.15,12165.4,11700.0,0.00094,0.04657534247,0.3218359157,539.75,644.3181866,650.0019827,632.8551659,478.45,505.3749487,510.228316,498.7251733
