Strike_Price,Spot_Price,Time,BS_Call,MC_Call,FD_Call,close,pred,C(T+1)
11442.45,12600.0,0.04383561644,23.87999883,26.93138558,22.92004478,14.9,13.89925430665022,8.0
11226.15,12200.0,0.02465753425,8.938971656,8.933581039,8.44485468,8.05,5.946946362274616,3.85
15008.65,16500.0,0.0602739726,50.76943323,54.75007296,47.71274742,12.25,8.102594944408168,8.9
12563.85,14400.0,0.05753424658,4.73e-06,0.0,-3.99e-05,7.75,7.605432289866201,5.9
11375.4,13100.0,0.01917808219,0.03531129622,0.01938334219,0.02971162336,2.3,2.0785880293273635,2.0
11235.75,14800.0,0.07671232877,6.43e-19,0.0,-0.0004898391423,252.8,252.30517632602965,252.8
11442.45,13600.0,0.04383561644,0.003533483586,0.0,0.002173630077,491.65,489.9168875191925,491.65
11981.05,13800.0,0.02191780822,3.2e-08,0.0,-9.72e-05,95.3,95.16773879048259,95.3
10158.55,11500.0,0.03835616438,13.36444354,13.81910022,12.81280367,39.05,39.3947555595272,29.8
11970.25,13600.0,0.05753424658,1.074453801,1.3158912,0.8167840796,5.0,4.952169659498907,5.0
10369.1,10800.0,0.04109589041,104.106901,106.9383347,99.33691999,229.15,213.11175817493154,139.4
13066.5,13600.0,0.02465753425,23.20148856,23.73330233,21.48056915,31.35,24.896748715754313,19.75
11187.85,12300.0,0.02465753425,2.357016363,1.828953787,2.15264941,8.0,6.564879274132011,3.4
15463.0,16900.0,0.02191780822,6.339018403,6.102536906,5.926815912,1.5,1.2072728470977836,0.2
10651.95,13100.0,0.06575342466,0.9836194875,0.7162376472,0.8352587741,282.15,281.22410077141063,282.15
11126.25,13200.0,0.05753424658,0.4415322715,0.5904236076,0.3628426431,257.25,256.88198936494274,257.25
11970.25,13700.0,0.05753424658,1.301626993,1.349623152,1.002056123,0.1,0.15185891288757603,0.1
11871.6,14100.0,0.02465753425,3.5499999999999997e-40,0.0,-0.0003996458308,53.4,53.360067580416626,53.4
11357.8,14300.0,0.0602739726,3.66e-14,0.0,-0.0003316906213,294.3,294.3893874777314,294.3
13181.5,14500.0,0.02739726027,0.001089960009,0.006577581135,0.0005628315764,3.7,2.9412970706147235,3.7
9757.25,11300.0,0.0602739726,12.54602486,13.48432127,11.57252028,11.9,14.364479365826753,9.8
11655.3,14100.0,0.03835616438,1.93e-31,0.0,-0.0004081781788,342.0,342.8668103896874,342.0
11575.6,12200.0,0.06575342466,146.9068213,147.4234574,140.2078556,30.2,40.55433880523185,53.0
12563.15,14100.0,0.02191780822,1.83e-20,0.0,-0.0002096153874,2.5,2.137667794686479,2.25
10447.85,13200.0,0.02191780822,3.85e-09,0.0,-0.0001898015777,284.4,284.31073128471644,284.4
10967.15,12900.0,0.02191780822,0.001667283212,0.0,0.001048588162,1.0,0.8362038678673684,1.0
18645.85,19400.0,0.05753424658,346.8141457,351.0756189,343.5313053,78.45,68.20766999237446,93.4
11283.3,14500.0,0.04657534247,6.61e-16,0.0,-0.0003945836117,288.05,287.89529173929344,288.05
10929.15,12700.0,0.04383561644,8.958616421,9.178593093,8.682082627,1.5,1.1199881090313397,1.6
11238.35,14200.0,0.01917808219,1.08e-45,0.0,-0.0005551664861,74.0,73.97965806217195,74.0
10279.6,12600.0,0.02465753425,0.001337878705,0.0,0.000893216725,264.35,264.3400768335659,264.35
10158.55,11900.0,0.03835616438,2.411769497,2.790444789,2.183219379,19.2,19.308050855919134,21.55
11148.65,13300.0,0.01917808219,7.95e-06,0.0,-2.85e-05,271.2,271.18594520140266,271.2
11381.2,12400.0,0.05753424658,24.10576388,27.27676011,21.87056871,27.0,26.500138281960915,28.75
12087.05,13100.0,0.04657534247,42.41880192,44.81944588,40.84202586,30.6,27.41102516718405,14.7
10809.1,11200.0,0.02465753425,81.58204101,83.36164997,79.92126382,89.1,62.6760121435953,95.6
16033.55,17700.0,0.05753424658,0.1405525016,0.1757487377,0.0798268046,20.75,21.00532758899692,15.5
11187.7,14600.0,0.01917808219,2.8e-93,0.0,-0.000736415743,265.55,265.40103655787124,265.55
9703.1,13000.0,0.06301369863,1.767005238,1.182381158,1.712493131,2.45,2.0184276219090975,3.2
11790.25,14900.0,0.02739726027,7.67e-29,0.0,-0.0005076520955,222.8,222.73291907170136,222.8
12938.2,14400.0,0.0602739726,0.002696842611,0.0,0.001017536103,175.95,178.10942618231041,195.8
11249.35,12400.0,0.002739726027,9.65e-14,0.0,-0.0001164798213,3.0,2.4706801299641086,0.35
15902.85,17700.0,0.005479452055,1.04e-28,0.0,-0.0002840345527,15.5,14.951922304829083,15.5
18290.65,19600.0,0.04109589041,275.0602076,284.8160737,285.3403478,8.5,-0.01228267855174181,16.5
11614.25,14600.0,0.06301369863,1.15e-20,0.0,-0.0004242320538,265.55,265.7247413420707,265.55
12742.05,14100.0,0.06575342466,9.52e-05,0.0,1.48e-05,53.15,52.53793484671377,22.85
12020.75,13700.0,0.03835616438,0.2028373048,0.1910203642,0.1577865501,1.0,0.8086989836070302,1.0
12087.05,14200.0,0.04657534247,1.06e-08,0.0,-0.0001323639608,13.0,13.041380006648808,13.0
11792.05,13400.0,0.06301369863,0.8268637142,0.6284565128,0.611115308,1.0,1.0960305398415926,2.2
14236.55,14800.0,0.03835616438,5.057777491,5.064250783,3.668714462,382.2,382.04603352106136,444.35
12636.5,14200.0,0.01917808219,1.72e-11,0.0,-0.0001364608292,0.6,0.3064505615798794,2.0
11125.65,14400.0,0.008219178082,1.22e-160,0.0,-0.000755079322,69.1,68.83539713824592,69.1
10929.15,13900.0,0.04383561644,9.56e-11,0.0,-0.0002581952884,79.05,79.01149253891214,79.05
11086.95,13500.0,0.008219178082,2.42e-14,0.0,-0.0002663758599,0.1,0.2388096028133191,1.25
9757.25,12700.0,0.0602739726,0.5320128245,0.2515649811,0.4689191766,3.95,3.599931635147584,3.95
11066.55,14000.0,0.002739726027,4.61e-91,0.0,-0.0006289650621,0.5,0.16704034894067377,0.1
11357.8,14800.0,0.0602739726,2.29e-22,0.0,-0.0005115906577,252.8,252.54449689675022,252.8
10158.55,10600.0,0.03835616438,52.79525183,54.92811572,48.38109717,190.0,198.44119373890146,172.7
11381.2,12000.0,0.05753424658,143.7742039,143.7784592,140.4959199,80.25,69.49125606134533,87.4
12643.05,13300.0,0.0602739726,96.40280571,95.2189168,89.9091627,55.4,48.943258778247696,44.55
11425.55,12100.0,0.06575342466,115.5005043,117.5500477,107.7049259,40.7,43.41765996497958,48.6
10523.35,13000.0,0.04109589041,3.356442273,3.924971597,3.316343157,2.8,2.4431357788095056,2.7
16667.0,17500.0,0.08219178082,236.071034,244.8295936,221.366803,88.75,99.48322691100289,71.5
11820.95,12200.0,0.02465753425,88.37405251,89.00613678,86.7846456,58.2,36.34328940452747,61.0
10188.25,12000.0,0.04383561644,2.179114026,2.331921352,1.942561147,23.75,24.21750643124284,33.05
11665.1,12400.0,0.05753424658,58.69669649,59.33304721,54.0814053,122.3,111.19166017509934,149.75
10899.3,12500.0,0.07945205479,48.30067746,47.7547501,46.34997339,24.95,23.68666155458203,22.05
10368.4,12900.0,0.02739726027,2.78e-05,0.0,-6.63e-06,356.0,355.76774557452524,356.0
18510.05,20200.0,0.04383561644,-8.18e-44,0.0,-0.0003089187292,33.45,33.37469288150828,33.45
15740.3,16800.0,0.002739726027,0.001457858547,0.0,0.001109876434,0.65,0.2782492847688047,0.05
12987.1,14300.0,0.005479452055,2.05e-28,0.0,-0.000205872903,1.9,1.5792905585014978,0.1
11066.55,13500.0,0.002739726027,9.37e-44,0.0,-0.0004480872456,0.4,0.3201673821887425,0.15
14489.75,15300.0,0.04657534247,283.3873493,288.5991855,290.7962989,68.65,68.2600502760282,145.95
11970.25,13200.0,0.05753424658,17.09002688,18.69036941,15.19123897,3.0,3.317764355508473,5.9
9703.1,12600.0,0.06301369863,0.08368557921,0.1141855936,0.06296633576,5.0,4.706377852800301,5.0
15175.9,16600.0,0.008219178082,0.1825315405,0.1131531489,0.1608676525,3.0,2.5650735192089655,1.1
12450.0,13400.0,0.08219178082,35.28959768,38.44382695,28.49799002,120.0,118.21927782094832,147.5
12065.9,13000.0,0.04657534247,154.5218855,159.127912,157.085494,38.35,38.911717669040996,17.35
11283.3,11700.0,0.04657534247,164.1426867,169.5489295,161.0400411,128.15,95.93236297106517,169.1
