Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,12-Mar-2013,25-Apr-2013,CE,11200.00,-,-,-,1739.00,-,1048.80,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,25-Apr-2013,CE,10700.00,-,-,-,1847.35,-,1495.65,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,25-Apr-2013,CE,10600.00,-,-,-,1623.50,-,1589.80,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,25-Apr-2013,CE,10000.00,-,-,-,1655.50,-,2171.00,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,25-Apr-2013,CE,10200.00,-,-,-,1799.05,-,1975.20,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,25-Apr-2013,CE,10100.00,-,-,-,1563.15,-,2072.95,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,25-Apr-2013,CE,10300.00,-,-,-,1701.50,-,1877.90,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,25-Apr-2013,CE,10500.00,-,-,-,1720.40,-,1685.05,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,25-Apr-2013,CE,9900.00,-,-,-,1749.05,-,2269.30,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,25-Apr-2013,CE,10400.00,-,-,-,1790.90,-,1781.15,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,9900.00,-,-,-,1864.30,-,2366.05,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,10200.00,-,-,-,1602.15,-,2081.60,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,10000.00,-,-,-,1775.50,-,2270.60,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,10300.00,-,-,-,1517.95,-,1988.25,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,10100.00,-,-,-,1688.05,-,2175.75,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,13700.00,-,-,-,157.05,-,109.55,-,-,-,-,-,12054.50
